frequency_Hz,PSD_GHz2_per_Hz
0.0,3.6803295622649073e-10
4.379503272505494e-05,2.119836189634694e-09
8.759006545010988e-05,7.517301463768819e-10
0.00013138509817516483,5.803752736030061e-10
0.00017518013090021977,3.633435297684821e-10
0.0002189751636252747,3.319513461696728e-10
0.00026277019635032967,1.1510283830536978e-09
0.0003065652290753846,7.10806768128366e-10
0.00035036026180043954,1.7685702657939982e-10
0.00039415529452549447,7.692506413156986e-10
0.0004379503272505494,7.242113440810085e-10
0.00048174535997560434,1.7150690255665615e-10
0.0005255403927006593,1.7327214887872967e-10
0.0005693354254257142,1.3999726111762728e-10
0.0006131304581507692,5.045137304848309e-10
0.0006569254908758241,1.3947015637222973e-09
0.0007007205236008791,5.258819824640924e-10
0.0007445155563259341,2.0162298453826663e-10
0.0007883105890509889,7.236838853244276e-10
0.0008321056217760439,3.9016416826001673e-10
0.0008759006545010988,4.3460961598180316e-11
0.0009196956872261538,1.4165088086396258e-10
0.0009634907199512087,6.405724228428039e-10
0.0010072857526762637,4.0466220643074083e-10
0.0010510807854013187,1.6898985024807527e-10
0.0010948758181263737,6.417841254254727e-11
0.0011386708508514284,5.487010750294049e-11
0.0011824658835764834,3.2823687655243394e-10
0.0012262609163015384,7.499876500546818e-10
0.0012700559490265934,6.921109792593667e-10
0.0013138509817516482,5.307830898293712e-10
0.0013576460144767032,5.671571480982109e-10
0.0014014410472017581,5.870720047450794e-10
0.0014452360799268131,2.8545182313762916e-10
0.0014890311126518681,1.8703640416473248e-10
0.001532826145376923,3.9644098263024937e-10
0.0015766211781019779,1.3736358293772737e-10
0.0016204162108270329,1.4352684971197165e-10
0.0016642112435520879,1.604607705462535e-11
0.0017080062762771426,7.639776639725596e-11
0.0017518013090021976,4.386128335663916e-13
0.0017955963417272526,7.12282197389966e-11
0.0018393913744523076,3.489605311183904e-11
0.0018831864071773626,1.9046473763156222e-10
0.0019269814399024174,4.280851021561022e-10
0.0019707764726274724,2.5642757627586335e-10
0.0020145715053525273,5.137833282267219e-11
0.0020583665380775823,2.111687696262357e-10
0.0021021615708026373,7.164391719112971e-11
0.0021459566035276923,7.0703502884413e-11
0.0021897516362527473,3.283833763681576e-11
0.002233546668977802,1.1967400341924261e-10
0.002277341701702857,7.755922926488025e-10
0.002321136734427912,4.088744563140867e-10
0.002364931767152967,5.0791351457032776e-11
0.002408726799878022,4.702540377067913e-10
0.002452521832603077,7.698252280855275e-10
0.002496316865328132,3.098848499096278e-10
0.0025401118980531868,4.918407890040998e-11
0.0025839069307782418,2.592818779814252e-10
0.0026277019635032963,8.974079773960454e-11
0.0026714969962283513,1.5450044841472813e-10
0.0027152920289534063,2.339480843441847e-10
0.0027590870616784613,2.1107231240095387e-10
0.0028028820944035163,5.827199942227366e-10
0.0028466771271285713,3.534554644129955e-10
0.0028904721598536263,4.3683451789838965e-11
